"filename", "language", "go", "Go Module File", "Go Checksum File", "XML", "comment", "blank", "total"
"e:\GO\Hotel-Reservation-Go\.idea\Hotel-Reservation-Go.iml", "XML", 0, 0, 0, 9, 0, 0, 9
"e:\GO\Hotel-Reservation-Go\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 8
"e:\GO\Hotel-Reservation-Go\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 6
"e:\GO\Hotel-Reservation-Go\database\cleaning_store.go", "go", 47, 0, 0, 0, 0, 18, 65
"e:\GO\Hotel-Reservation-Go\database\connection.go", "go", 32, 0, 0, 0, 3, 12, 47
"e:\GO\Hotel-Reservation-Go\database\employee_store.go", "go", 14, 0, 0, 0, 0, 4, 18
"e:\GO\Hotel-Reservation-Go\database\food_store.go", "go", 21, 0, 0, 0, 0, 8, 29
"e:\GO\Hotel-Reservation-Go\database\migrations.go", "go", 39, 0, 0, 0, 0, 11, 50
"e:\GO\Hotel-Reservation-Go\database\pool_store.go", "go", 5, 0, 0, 0, 0, 3, 8
"e:\GO\Hotel-Reservation-Go\database\reservation_store.go", "go", 33, 0, 0, 0, 8, 21, 62
"e:\GO\Hotel-Reservation-Go\database\room_store.go", "go", 6, 0, 0, 0, 0, 3, 9
"e:\GO\Hotel-Reservation-Go\database\tour_store.go", "go", 38, 0, 0, 0, 0, 12, 50
"e:\GO\Hotel-Reservation-Go\database\traveler_store.go", "go", 16, 0, 0, 0, 0, 6, 22
"e:\GO\Hotel-Reservation-Go\go.mod", "Go Module File", 0, 20, 0, 0, 0, 4, 24
"e:\GO\Hotel-Reservation-Go\go.sum", "Go Checksum File", 0, 0, 42, 0, 0, 1, 43
"e:\GO\Hotel-Reservation-Go\logic\cleaning_logic.go", "go", 49, 0, 0, 0, 0, 19, 68
"e:\GO\Hotel-Reservation-Go\logic\employee_decider.go", "go", 63, 0, 0, 0, 2, 16, 81
"e:\GO\Hotel-Reservation-Go\logic\hotel_logic.go", "go", 301, 0, 0, 0, 0, 75, 376
"e:\GO\Hotel-Reservation-Go\logic\loggedin.go", "go", 4, 0, 0, 0, 0, 3, 7
"e:\GO\Hotel-Reservation-Go\logic\pool_logic.go", "go", 40, 0, 0, 0, 0, 12, 52
"e:\GO\Hotel-Reservation-Go\logic\restaurant_logic.go", "go", 48, 0, 0, 0, 0, 14, 62
"e:\GO\Hotel-Reservation-Go\logic\role_decider.go", "go", 19, 0, 0, 0, 0, 4, 23
"e:\GO\Hotel-Reservation-Go\logic\tour_leader_decider.go", "go", 17, 0, 0, 0, 0, 6, 23
"e:\GO\Hotel-Reservation-Go\logic\tour_logic.go", "go", 115, 0, 0, 0, 7, 25, 147
"e:\GO\Hotel-Reservation-Go\logic\traveler_decider.go", "go", 36, 0, 0, 0, 0, 8, 44
"e:\GO\Hotel-Reservation-Go\main.go", "go", 13, 0, 0, 0, 2, 8, 23
"e:\GO\Hotel-Reservation-Go\models\cleaning_request.go", "go", 12, 0, 0, 0, 0, 3, 15
"e:\GO\Hotel-Reservation-Go\models\employee.go", "go", 11, 0, 0, 0, 0, 3, 14
"e:\GO\Hotel-Reservation-Go\models\food.go", "go", 9, 0, 0, 0, 0, 3, 12
"e:\GO\Hotel-Reservation-Go\models\pool_sans.go", "go", 11, 0, 0, 0, 0, 4, 15
"e:\GO\Hotel-Reservation-Go\models\reservation.go", "go", 15, 0, 0, 0, 0, 4, 19
"e:\GO\Hotel-Reservation-Go\models\room.go", "go", 8, 0, 0, 0, 0, 3, 11
"e:\GO\Hotel-Reservation-Go\models\tour.go", "go", 21, 0, 0, 0, 0, 4, 25
"e:\GO\Hotel-Reservation-Go\models\traveler.go", "go", 16, 0, 0, 0, 0, 4, 20
"e:\GO\Hotel-Reservation-Go\ui\constants.go", "go", 2, 0, 0, 0, 0, 2, 4
"Total", "-", 1061, 20, 42, 23, 22, 323, 1491